ModelID,ModelNameDE,ModelDescriptionDE,FileNameDE,SortModels
Architektur Referenzmodell / Perimeter / Koordinationselemente,Architektur Referenzmodell / Perimeter / Koordinationselemente,,M ARCHI-RE,1.0
Architektur Gesamtmodell inkl. Räumen,Architektur Gesamtmodell inkl. Räumen,,M ARCHI-GM,2.0
Architektur Gebäudevolumen,Architektur Gebäudevolumen,,M ARCHI-GV,3.0
Architektur Geschossfläche,Architektur Geschossfläche,,M ARCHI-GF,4.0
Fassadenplanung,Fassadenplanung,,M ARCHI-FA,5.0
Landschaftsarchitektur,Landschaftsarchitektur,,M ARCHI-LA,7.0
Bauingenieur Tragwerk inkl. Sperrzonen,Bauingenieur Tragwerk inkl. Sperrzonen,,M BAUIN-TW,8.0
Bauingenieur Sperrzonen,Bauingenieur Sperrzonen,,M BAUIN-SZ,9.0
Bauingenieur Baugrube,Bauingenieur Baugrube,,M BAUIN-BG,10.0
Bauingenieur Holzbau,Bauingenieur Holzbau,,M BAUIN-HB,11.0
Bauingenieur Stahlbau,Bauingenieur Stahlbau,,M BAUIN-ST,12.0
Bauingenieur Tiefbau & Werkleitungen,Bauingenieur Tiefbau & Werkleitungen,,M BAUIN-TB,13.0
HLKSE Aussparungen,HLKSE Aussparungen,,M HLKSE-AU,14.0
HLKSE Elektroplanung,HLKSE Elektroplanung,,M HLKSE-EL,14.5
HLKSE Lichtplanung,HLKSE Lichtplanung,,M HLKSE-LI,15.0
HLKSE Heizung-Kälte,HLKSE Heizung-Kälte,,M HLKSE-HK,17.0
HLKSE Lüftung-Klima,HLKSE Lüftung-Klima,,M HLKSE-LK,18.0
HLKSE Gebäudeautomation,HLKSE Gebäudeautomation,,M HLKSE-GA,19.0
HLKSE Sanitärplanung,HLKSE Sanitärplanung,, M HLKSE-SA,20.0
HLKSE Sprinklerplanung,HLKSE Sprinklerplanung,,M HLKSE-SP,21.0
Spezialist Sicherheitsplanung,Spezialist Sicherheitsplanung,,M SPEZI-SI,22.0