AttributeID,AttributeName,SortAttribute,AttributeDescriptionEN,AttributeDescriptionDE,Pset,AllowedValuesEN,AllowedValuesDE,RegexCheckEN,RegexCheckDE,DataTyp,Unit,IFC2x3,IFC4,IFC4.3,Applicability,ProjectPhaseEN,ProjectPhaseDE,ElementID,ModelID,WorkflowID
Name_Building,Name,"1,0",Name of the Building,Gebäudebezeichnung,,,,,,,,checked,checked,checked,,"11  Formulation of Needs / Solution Strategies, 21  Definition of the Project / Feasibility Study, 22  Selection Process, 31  Preliminary Project, 32  Construction Project, 33  Approval Process, 41  Tendering / Offer Comparison, Award Proposal, 51  Execution Planning, 52  Execution, 53  Commissioning / Completion, 61  Operation, 62  Maintenance","11 Bedürfnisformulierung / Lösungsstrategien, 21 Definition des Vorhabens / Machbarkeitsstudie, 22 Auswahlverfahren, 31 Vorprojekt, 32 Bauprojekt, 33 Bewilligungsverfahren, 41 Ausschreibung / Offertvergleich, Vergabantrag, 51 Ausführungsplanung, 52 Ausführung, 53 Inbetriebnahme / Abschluss, 61 Betrieb, 62 Erhaltung",Building,Architectural Building Element and Space Model,
Name_Project,Name,"1,0",Project Name or Number,Projektname oder Nummer,,,,,,,,checked,checked,checked,,"11  Formulation of Needs / Solution Strategies, 21  Definition of the Project / Feasibility Study, 22  Selection Process, 31  Preliminary Project, 32  Construction Project, 33  Approval Process, 41  Tendering / Offer Comparison, Award Proposal, 51  Execution Planning, 52  Execution, 53  Commissioning / Completion, 61  Operation, 62  Maintenance","11 Bedürfnisformulierung / Lösungsstrategien, 21 Definition des Vorhabens / Machbarkeitsstudie, 22 Auswahlverfahren, 31 Vorprojekt, 32 Bauprojekt, 33 Bewilligungsverfahren, 41 Ausschreibung / Offertvergleich, Vergabantrag, 51 Ausführungsplanung, 52 Ausführung, 53 Inbetriebnahme / Abschluss, 61 Betrieb, 62 Erhaltung",Project,Architectural Building Element and Space Model,
Name_Useable Space,Name,"1,0","Recommendation:
- Room Identifier: Persistent Unique Numerical Designation
- Definition: A distinct, enduring numerical code assigned to each room for unambiguous identification within a building or complex. E.g., #007 ","Empfehlung:
- Raumkennung: Persistente eindeutige numerische Bezeichnung 
- Definition: Ein eindeutiger, dauerhafter numerischer Code, der jedem Raum zur unmissverständlichen Identifizierung innerhalb eines Gebäudes oder Komplexes zugewiesen wird. Z.B. #007 ",,,,,,,,checked,checked,checked,,"32  Construction Project, 33  Approval Process, 41  Tendering / Offer Comparison, Award Proposal, 51  Execution Planning, 52  Execution, 53  Commissioning / Completion, 61  Operation, 62  Maintenance","32 Bauprojekt, 33 Bewilligungsverfahren, 41 Ausschreibung / Offertvergleich, Vergabantrag, 51 Ausführungsplanung, 52 Ausführung, 53 Inbetriebnahme / Abschluss, 61 Betrieb, 62 Erhaltung",Useable Space,Architectural Building Element and Space Model,
Name_Planning Perimeter,Name,"1,0",Name of the Perimeter,Planungsperimeterbezeichnung,,,,,,,,checked,checked,checked,,"11  Formulation of Needs / Solution Strategies, 21  Definition of the Project / Feasibility Study, 22  Selection Process, 31  Preliminary Project, 32  Construction Project, 33  Approval Process, 41  Tendering / Offer Comparison, Award Proposal, 51  Execution Planning, 52  Execution, 53  Commissioning / Completion, 61  Operation, 62  Maintenance","11 Bedürfnisformulierung / Lösungsstrategien, 21 Definition des Vorhabens / Machbarkeitsstudie, 22 Auswahlverfahren, 31 Vorprojekt, 32 Bauprojekt, 33 Bewilligungsverfahren, 41 Ausschreibung / Offertvergleich, Vergabantrag, 51 Ausführungsplanung, 52 Ausführung, 53 Inbetriebnahme / Abschluss, 61 Betrieb, 62 Erhaltung",Planning Perimeter,Architectural Building Element and Space Model,
Name_Storey / Floor,Name,"1,0",Unique floor designation,Eindeutige Geschossbezeichnung,,,,,,,,checked,checked,checked,,"11  Formulation of Needs / Solution Strategies, 21  Definition of the Project / Feasibility Study, 22  Selection Process, 31  Preliminary Project, 32  Construction Project, 33  Approval Process, 41  Tendering / Offer Comparison, Award Proposal, 51  Execution Planning, 52  Execution, 53  Commissioning / Completion, 61  Operation, 62  Maintenance","11 Bedürfnisformulierung / Lösungsstrategien, 21 Definition des Vorhabens / Machbarkeitsstudie, 22 Auswahlverfahren, 31 Vorprojekt, 32 Bauprojekt, 33 Bewilligungsverfahren, 41 Ausschreibung / Offertvergleich, Vergabantrag, 51 Ausführungsplanung, 52 Ausführung, 53 Inbetriebnahme / Abschluss, 61 Betrieb, 62 Erhaltung",Storey / Floor,Architectural Building Element and Space Model,
LongName_Useable Space,LongName,"2,0","A type name for the room, e.g., Office, Meeting Room, Laboratory, Storage.
","Eine Typbezeichnung für den Raum, z.B. Büro, Besprechungsraum, Labor, Lager.",,,,,,,,checked,checked,checked,,"32  Construction Project, 33  Approval Process, 41  Tendering / Offer Comparison, Award Proposal, 51  Execution Planning, 52  Execution, 53  Commissioning / Completion, 61  Operation, 62  Maintenance","32 Bauprojekt, 33 Bewilligungsverfahren, 41 Ausschreibung / Offertvergleich, Vergabantrag, 51 Ausführungsplanung, 52 Ausführung, 53 Inbetriebnahme / Abschluss, 61 Betrieb, 62 Erhaltung",Useable Space,Architectural Building Element and Space Model,
LongName_Void in double height rooms,LongName,"2,0","Recommendation:
- Name them consistently for simple filtering. E.g. Void","Empfehlung:
- Benenne sie einheitlich für einfache Filterung. z.B. Luftraum
",,,,,,,,checked,checked,checked,,"32  Construction Project, 33  Approval Process, 41  Tendering / Offer Comparison, Award Proposal, 51  Execution Planning, 52  Execution, 53  Commissioning / Completion, 61  Operation, 62  Maintenance","32 Bauprojekt, 33 Bewilligungsverfahren, 41 Ausschreibung / Offertvergleich, Vergabantrag, 51 Ausführungsplanung, 52 Ausführung, 53 Inbetriebnahme / Abschluss, 61 Betrieb, 62 Erhaltung",Void in double height rooms,Architectural Building Element and Space Model,
PredefinedType_Exterior Spaces / Balconies,PredefinedType,"3,0","In the Attribute, you can define if it's an EXTERNAL or INTERNAL Space.","Im Attribut können Sie festlegen, ob es sich um einen EXTERNEN oder INTERNEN Raum handelt.",,"EXTERNAL, INTERNAL",EXTERNAL,,,,,,checked,checked,checked,"32  Construction Project, 33  Approval Process, 41  Tendering / Offer Comparison, Award Proposal, 51  Execution Planning, 52  Execution, 53  Commissioning / Completion, 61  Operation, 62  Maintenance","32 Bauprojekt, 33 Bewilligungsverfahren, 41 Ausschreibung / Offertvergleich, Vergabantrag, 51 Ausführungsplanung, 52 Ausführung, 53 Inbetriebnahme / Abschluss, 61 Betrieb, 62 Erhaltung",Exterior Spaces / Balconies,Architectural Building Element and Space Model,
IsInteriorOrExteriorSpace_Exterior Spaces / Balconies,IsInteriorOrExteriorSpace,"4,0","The attribute defines space location:

True: Outside (e.g., balcony)
False: Inside (e.g., kitchen, parking garage)","Das Attribut definiert die Raumlage:
- True: Außen (z.B. Balkon)
- False: Innen (z.B. Küche, Parkgarage)",Pset_SpaceCommon,"TRUE, FALSE",TRUE,,,,,checked,,,checked,"32  Construction Project, 33  Approval Process, 41  Tendering / Offer Comparison, Award Proposal, 51  Execution Planning, 52  Execution, 53  Commissioning / Completion, 61  Operation, 62  Maintenance","32 Bauprojekt, 33 Bewilligungsverfahren, 41 Ausschreibung / Offertvergleich, Vergabantrag, 51 Ausführungsplanung, 52 Ausführung, 53 Inbetriebnahme / Abschluss, 61 Betrieb, 62 Erhaltung",Exterior Spaces / Balconies,Architectural Building Element and Space Model,
PredefinedType_Window,PredefinedType,"4,0","Recommendation, but not necessary
- Specify window type via PredefinedType","Empfehlung, aber nicht Notwendig
- Fenstertyp über PredefinedType spezifizieren
",,,,,,,,,checked,checked,,"11  Formulation of Needs / Solution Strategies, 21  Definition of the Project / Feasibility Study, 22  Selection Process, 31  Preliminary Project, 32  Construction Project, 33  Approval Process, 41  Tendering / Offer Comparison, Award Proposal, 51  Execution Planning, 52  Execution, 53  Commissioning / Completion, 61  Operation, 62  Maintenance","11 Bedürfnisformulierung / Lösungsstrategien, 21 Definition des Vorhabens / Machbarkeitsstudie, 22 Auswahlverfahren, 31 Vorprojekt, 32 Bauprojekt, 33 Bewilligungsverfahren, 41 Ausschreibung / Offertvergleich, Vergabantrag, 51 Ausführungsplanung, 52 Ausführung, 53 Inbetriebnahme / Abschluss, 61 Betrieb, 62 Erhaltung",Window,Architectural Building Element and Space Model,ABC
PredefinedType_Doors,PredefinedType,"4,0","Recommendation:
- Specify window type via PredefinedType","Empfehlung:
- Türtyp über PredefinedType spezifizieren
",,,,,,,,checked,,,,"11  Formulation of Needs / Solution Strategies, 21  Definition of the Project / Feasibility Study, 22  Selection Process, 31  Preliminary Project, 32  Construction Project, 33  Approval Process, 41  Tendering / Offer Comparison, Award Proposal, 51  Execution Planning, 52  Execution, 53  Commissioning / Completion, 61  Operation, 62  Maintenance","11 Bedürfnisformulierung / Lösungsstrategien, 21 Definition des Vorhabens / Machbarkeitsstudie, 22 Auswahlverfahren, 31 Vorprojekt, 32 Bauprojekt, 33 Bewilligungsverfahren, 41 Ausschreibung / Offertvergleich, Vergabantrag, 51 Ausführungsplanung, 52 Ausführung, 53 Inbetriebnahme / Abschluss, 61 Betrieb, 62 Erhaltung",Doors,Architectural Building Element and Space Model,ABC
IsExternal_Exterior Spaces / Balconies,IsExternal,"5,0","The attribute defines space location:

True: Outside (e.g., balcony)
False: Inside (e.g., kitchen, parking garage)","Das Attribut definiert die Raumlage:
- True: Außen (z.B. Balkon)
- False: Innen (z.B. Küche, Parkgarage)",,"TRUE, FALSE",TRUE,,,,,,checked,checked,checked,"32  Construction Project, 33  Approval Process, 41  Tendering / Offer Comparison, Award Proposal, 51  Execution Planning, 52  Execution, 53  Commissioning / Completion, 61  Operation, 62  Maintenance","32 Bauprojekt, 33 Bewilligungsverfahren, 41 Ausschreibung / Offertvergleich, Vergabantrag, 51 Ausführungsplanung, 52 Ausführung, 53 Inbetriebnahme / Abschluss, 61 Betrieb, 62 Erhaltung",Exterior Spaces / Balconies,Architectural Building Element and Space Model,